N_unmapped	3453768	3453768	3453768
N_multimapping	6918514	6918514	6918514
N_noFeature	26922876	81926311	27352207
N_ambiguous	2771602	26896	1952572
uc001aaa.3	0	0	0
uc010nxq.1	0	0	0
uc010nxr.1	0	0	0
WASH7P|653635	378	1	378
FAM138F|641702	1	0	1
OR4F5|79501	0	0	0
uc010nxt.1	11	0	11
uc001aam.3	34	0	34
uc001aaq.1	0	0	0
uc001aar.1	0	0	0
LOC100132287|100132287	6	0	6
OR4F29|729759	0	0	0
uc001aax.1	0	0	0
uc001aaz.2	240	0	240
uc001aba.1	23	0	23
uc001abb.2	0	0	0
uc001abc.2	511	3	508
LOC100133331|100133331	51	0	51
uc001abi.1	0	0	0
uc001abj.2	0	0	0
uc010nxw.1	0	0	0
uc001abl.2	2	0	2
uc001abm.2	11	0	11
uc001abo.2	135	0	135
NCRNA00115|79854	50	0	50
LOC643837|643837	258	0	258
uc001abs.2	107	0	107
FAM41C|284593	1	0	1
uc001abu.1	325	0	325
FLJ39609|100130417	597	60	537
SAMD11|148398	2323	698	2931
NOC2L|26155	4114	643	4777
KLHL17|339451	231	5	226
PLEKHN1|84069	280	20	262
C1orf170|84808	149	94	57
HES4|57801	669	10	659
ISG15|9636	1936	5	1931
AGRN|375790	19539	50	19489
uc009vjs.1	6	0	6
uc001acl.1	88	23	65
C1orf159|54991	764	4	760
uc001acv.2	2	0	2
uc001acw.2	11	0	11
uc010nye.1	5	0	5
uc010nyf.1	10	0	10
uc001acx.1	15	18	0
TTLL10|254173	37	0	40
TNFRSF18|8784	175	2	173
TNFRSF4|7293	178	1	177
SDF4|51150	4248	23	4225
B3GALT6|126792	1368	8	1360
FAM132A|388581	16	0	16
UBE2J2|118424	1567	3	1564
LOC100128842|100128842	57	0	57
SCNN1D|6339	163	2	161
ACAP3|116983	1636	185	1632
PUSL1|126789	569	161	793
CPSF3L|54973	3517	525	3196
GLTPD1|80772	1782	19	1763
TAS1R3|83756	314	106	208
DVL1|1855	2902	46	2856
MXRA8|54587	3083	549	2534
AURKAIP1|54998	2286	13	2273
CCNL2|81669	4251	7	4244
LOC148413|148413	1016	1576	998
MRPL20|55052	999	78	2479
LOC441869|441869	153	17	136
TMEM88B|643965	0	0	0
VWA1|64856	4366	9	4357
ATAD3C|219293	323	1	322
ATAD3B|83858	941	2	939
ATAD3A|55210	1064	30	1036
C1orf70|339453	7	2	7
SSU72|29101	3910	2	3908
uc001agf.1	37	3	34
MIB2|142678	847	72	775
MMP23B|8510	27	0	27
CDK11B|984	467	17	450
uc001ahc.1	20	0	20
SLC35E2B|728661	3771	40	3731
SLC35E2|9906	340	7	333
MMP23A|8511	0	0	0
CDK11A|728642	261	3	258
uc001ahx.1	56	211	6
uc001aia.1	623	22	760
NADK|65220	4099	11	4088
GNB1|2782	11750	16	11734
uc001aig.1	24	0	24
CALML6|163688	30	0	30
TMEM52|339456	117	0	117
uc001aik.2	0	0	0
uc001ail.2	0	0	0
KIAA1751|85452	6	1	5
uc001aio.1	5	0	5
GABRD|2563	166	1	165
PRKCZ|5590	1052	137	1434
uc001aiu.1	11	26	31
uc009vlc.1	10	29	32
C1orf86|199990	500	429	597
uc001aiz.1	149	62	94
SKI|6497	3963	11	3952
MORN1|79906	476	32	444
LOC100129534|100129534	127	1	126
RER1|11079	4747	640	5279
PEX10|5192	980	592	1560
PLCH2|9651	655	36	619
PANK4|55229	733	1	732
HES5|388585	47	6	41
LOC115110|115110	126	309	113
TNFRSF14|8764	1652	21	1927
C1orf93|127281	1800	191	2114
MMEL1|79258	187	332	360
ACTRT2|140625	0	0	0
FLJ42875|440556	8	3	5
PRDM16|63976	43	0	43
ARHGEF16|27237	1494	15	1479
MEGF6|1953	3675	17	3658
TPRG1L|127262	2933	15	2918
WDR8|49856	846	10	836
TP73|7161	320	12	308
KIAA0495|57212	1025	27	998
CCDC27|148870	14	14	0
LOC388588|388588	494	3	491
LRRC47|57470	2926	118	2808
KIAA0562|9731	2263	4	2262
DFFB|1677	453	5	451
C1orf174|339448	1128	2	1126
LOC100133612|100133612	12	0	12
uc001ali.1	0	0	0
LOC284661|284661	0	0	0
AJAP1|55966	39	0	39
uc001alo.3	20	0	20
uc001alp.1	2	0	2
NPHP4|261734	925	1	924
KCNAB2|8514	1109	0	1109
CHD5|26038	22	8	14
RPL22|6146	8834	8	8828
RNF207|388591	777	183	713
ICMT|23463	7224	67	7274
uc001amm.2	14	0	14
HES3|390992	0	0	0
GPR153|387509	1007	1	1006
ACOT7|11332	1128	4	1124
HES2|54626	1165	2	1163
